Report generated at: 05270520

shadowrocket_basic.conf: Windows-1254
pocketlists.conf: UTF-8-SIG
polarr.conf: UTF-8-SIG
ppx.conf: UTF-8-SIG
prettyup.conf: UTF-8-SIG
Price.conf: UTF-8-SIG
proknockout.conf: UTF-8-SIG
ptj.conf: UTF-8-SIG
qifu.conf: UTF-8-SIG
qj.conf: UTF-8-SIG
qmxs.conf: UTF-8-SIG
qnhb.conf: UTF-8-SIG
Ratings.conf: UTF-8-SIG
relens.conf: UTF-8-SIG
retake.conf: UTF-8-SIG
rmrb.conf: UTF-8-SIG
rq.conf: UTF-8-SIG
rrsp.conf: UTF-8-SIG
rzxj.conf: UTF-8-SIG
sc.conf: UTF-8-SIG
seven.conf: UTF-8-SIG
sgsz.conf: UTF-8-SIG
